pitcher,stand,hr,bbe,barrels,pull_air,air_ev,name,bats,pa,barrel_rate,pull_air_rate,bbe_per_pa,xhr_pa_raw,talent_hr_pa,regression_w
605441,L,0,2,0,0,106.6,"Rushing, Dalton",L,3,0.0,0.0,0.6666666666666666,0.0,0.030233698667200357,0.011
605447,L,1,22,1,6,89.15714285714286,"Alvarez, Yordan",L,44,0.045454545454545456,0.2727272727272727,0.5,0.015522727272727271,0.028930857215002305,0.109
605452,L,0,24,1,4,88.69090909090909,"Freeland, Alex",L,30,0.041666666666666664,0.16666666666666666,0.8,0.021566666666666665,0.029510456654070906,0.118
605483,L,0,2,0,0,103.4,"Harris II, Michael",L,6,0.0,0.0,0.3333333333333333,0.0,0.030233698667200357,0.011
605488,L,7,99,7,16,90.64237288135593,"Giménez, Andrés",L,137,0.0707070707070707,0.16161616161616163,0.7226277372262774,0.031481751824817515,0.030893285261962004,0.355
605540,L,3,58,7,9,91.87297297297297,"Simpson, Chandler",L,92,0.1206896551724138,0.15517241379310345,0.6304347826086957,0.045510869565217396,0.034210771395853254,0.244
606115,L,0,1,0,0,89.0,"Antonacci, Sam",L,3,0.0,0.0,0.3333333333333333,0.0,0.030400735676411408,0.006
606303,L,0,13,2,5,93.0909090909091,"Isbel, Kyle",L,19,0.15384615384615385,0.38461538461538464,0.6842105263157895,0.06526315789473684,0.03290649849773079,0.067
606965,L,1,4,1,2,93.7,"Church, Nathan",L,6,0.25,0.5,0.6666666666666666,0.10183333333333333,0.0321188396237163,0.022
606996,L,4,62,4,10,93.72692307692309,"McGonigle, Kevin",L,85,0.06451612903225806,0.16129032258064516,0.7294117647058823,0.02917647058823529,0.03021270385909526,0.256
607067,L,5,218,17,24,93.48529411764706,"Moncada, Yoán",L,306,0.0779816513761468,0.11009174311926606,0.7124183006535948,0.0333562091503268,0.032095946613572124,0.548
607074,L,2,32,3,2,94.32142857142857,"Turang, Brice",L,52,0.09375,0.0625,0.6153846153846154,0.03386538461538462,0.03106710125057912,0.151
607192,L,2,56,4,7,92.928,"Smith, Pavin",L,95,0.07142857142857142,0.125,0.5894736842105263,0.025536842105263153,0.02937540811578475,0.237
607200,L,5,177,13,35,91.97708333333333,"Edwards, Xavier",L,244,0.07344632768361582,0.1977401129943503,0.7254098360655737,0.0332172131147541,0.03188229657910908,0.496
607259,L,11,238,19,42,92.51307692307692,"Frelick, Sal",L,298,0.07983193277310924,0.17647058823529413,0.7986577181208053,0.039197986577181196,0.03548242574832438,0.569
607455,L,1,43,2,5,90.775,"Henderson, Gunnar",L,68,0.046511627906976744,0.11627906976744186,0.6323529411764706,0.018235294117647054,0.02819125921295645,0.193
607481,L,3,31,2,6,95.94,"Pasquantino, Vinnie",L,44,0.06451612903225806,0.1935483870967742,0.7045454545454546,0.02859090909090909,0.030278916299756622,0.147
607536,L,2,95,7,16,92.61923076923077,"Marsee, Jakob",L,129,0.07368421052631578,0.16842105263157894,0.7364341085271318,0.03343410852713177,0.03155917624548358,0.345
607625,L,7,255,21,39,92.49716312056738,"Albies, Ozzie",L,361,0.08235294117647059,0.15294117647058825,0.7063711911357341,0.035393351800554015,0.03339732842890055,0.586
608032,L,1,4,1,1,101.86666666666667,"Smith, Dominic",L,6,0.25,0.25,0.6666666666666666,0.09883333333333333,0.03205362223241195,0.022
608331,L,0,50,2,3,89.01666666666667,"Lee, Jung Hoo",L,70,0.04,0.06,0.7142857142857143,0.0172,0.027663187641002025,0.217
608337,L,1,52,1,20,91.46875,"Rivas, Leo",L,71,0.019230769230769232,0.38461538461538464,0.7323943661971831,0.013169014084507043,0.02666949090441738,0.224
608344,L,0,8,1,1,91.39999999999999,"Yoshida, Masataka",L,10,0.125,0.125,0.8,0.0593,0.03179219764590673,0.043
608348,L,0,1,0,0,,"Arraez, Luis",L,1,0.0,0.0,1.0,0.0,0.030400735676411408,0.006
608371,L,0,10,1,4,90.78333333333335,"Marsee, Jakob",L,20,0.1,0.4,0.5,0.03235,0.030663332407528766,0.053
608372,L,15,181,28,32,96.00467289719626,"Giménez, Andrés",L,229,0.15469613259668508,0.17679558011049723,0.7903930131004366,0.07282096069868994,0.05175381452602035,0.501
608379,L,7,230,16,45,91.25528455284552,"Baldwin, Drake",L,323,0.06956521739130435,0.1956521739130435,0.7120743034055728,0.030990712074303407,0.030805846181756705,0.561
608566,L,9,92,10,11,94.02280701754387,"Bailey, Patrick",L,132,0.10869565217391304,0.11956521739130435,0.696969696969697,0.04506060606060606,0.035470988658111116,0.338
608650,L,0,23,1,1,91.58461538461538,"Clemens, Kody",L,31,0.043478260869565216,0.043478260869565216,0.7419354838709677,0.019129032258064515,0.02927340344515246,0.113
608718,L,4,73,7,12,93.16666666666667,"Ballesteros, Moisés",L,106,0.0958904109589041,0.1643835616438356,0.6886792452830188,0.04000943396226414,0.033293366943382405,0.289
608723,L,2,24,2,5,93.13529411764705,"Quero, Edgar",L,29,0.08333333333333333,0.20833333333333334,0.8275862068965517,0.04275862068965517,0.03200362771559897,0.118
615698,L,6,106,13,8,94.86949152542373,"Butler, Lawrence",L,153,0.12264150943396226,0.07547169811320754,0.6928104575163399,0.04979738562091503,0.03769600011624985,0.371
620443,L,1,2,0,2,94.4,"Yastrzemski, Mike",L,2,0.0,1.0,1.0,0.018,0.030431500865002556,0.011
621016,L,0,11,1,3,90.53750000000001,"Palacios, Richie",L,18,0.09090909090909091,0.2727272727272727,0.6111111111111112,0.034944444444444445,0.030821581394342167,0.058
621053,L,3,21,5,2,92.875,"Marsh, Brandon",L,26,0.23809523809523808,0.09523809523809523,0.8076923076923077,0.11196153846153846,0.03907326102051131,0.104
621074,L,3,35,4,8,92.84444444444445,"García Jr., Luis",L,51,0.11428571428571428,0.22857142857142856,0.6862745098039216,0.04792156862745098,0.03339436306693604,0.163
621097,L,0,24,0,3,87.05714285714285,"Rocchio, Brayan",L,32,0.0,0.125,0.75,0.0016874999999999998,0.027171731163874828,0.118
621107,L,0,4,1,0,100.85,"Carter, Evan",L,10,0.25,0.0,0.4,0.057499999999999996,0.031155071507774267,0.022
621111,L,5,170,11,36,92.02613636363637,"Bailey, Patrick",L,248,0.06470588235294118,0.21176470588235294,0.6854838709677419,0.028116935483870967,0.029378320541967224,0.486
621112,L,5,84,5,13,92.31290322580645,"Raleigh, Cal",L,125,0.05952380952380952,0.15476190476190477,0.672,0.024872000000000002,0.02875674680844873,0.318
621121,L,5,67,7,10,94.35161290322581,"Yoshida, Masataka",L,119,0.1044776119402985,0.14925373134328357,0.5630252100840336,0.03533613445378151,0.031862567473011444,0.271
621139,L,0,4,0,0,,"Marsh, Brandon",L,5,0.0,0.0,0.8,0.0,0.029905071507774265,0.022
621237,L,1,54,1,2,87.785,"Nimmo, Brandon",L,83,0.018518518518518517,0.037037037037037035,0.6506024096385542,0.007361445783132528,0.025213894144100944,0.231
621242,L,1,18,1,8,91.18571428571428,"Marte, Ketel",L,28,0.05555555555555555,0.4444444444444444,0.6428571428571429,0.02567857142857143,0.03012498708658965,0.091
621345,L,2,32,4,2,89.65263157894738,"Bleday, JJ",L,46,0.125,0.0625,0.6956521739130435,0.05078260869565217,0.033620644507978,0.151
621366,L,0,32,0,4,86.77857142857144,"Chisholm Jr., Jazz",L,49,0.0,0.125,0.6530612244897959,0.0014693877551020405,0.026177139460347786,0.151
621381,L,2,40,4,8,91.07407407407408,"Harris II, Michael",L,54,0.1,0.2,0.7407407407407407,0.045259259259259256,0.03324047058091288,0.182
621383,L,3,39,4,3,91.57000000000001,"Smith, Josh",L,59,0.10256410256410256,0.07692307692307693,0.6610169491525424,0.03989830508474576,0.03223089979787922,0.178
621389,L,0,2,0,0,90.0,"Yelich, Christian",L,4,0.0,0.0,0.5,0.0,0.030233698667200357,0.011
622088,L,2,37,4,3,97.33125,"Happ, Ian",L,60,0.10810810810810811,0.08108108108108109,0.6166666666666667,0.039233333333333335,0.032046850187851604,0.171
622491,L,13,193,24,31,93.8271186440678,"Bellinger, Cody",L,262,0.12435233160621761,0.16062176165803108,0.7366412213740458,0.05480152671755724,0.043107849367075096,0.517
622554,L,3,45,5,7,96.5904761904762,"Frelick, Sal",L,81,0.1111111111111111,0.15555555555555556,0.5555555555555556,0.03704938271604938,0.031865579465123056,0.2
622608,L,3,77,6,10,89.1225,"Marsee, Jakob",L,111,0.07792207792207792,0.12987012987012986,0.6936936936936937,0.0327027027027027,0.031208720877581995,0.3
622663,L,4,95,11,8,92.15799999999999,"Lukes, Nathan",L,152,0.11578947368421053,0.08421052631578947,0.625,0.04255921052631578,0.03471148420883805,0.345
622694,L,0,9,0,0,80.0,"Beavers, Dylan",L,16,0.0,0.0,0.5625,0.0,0.029113932049896638,0.048
622761,L,0,4,0,0,84.93333333333334,"Marsee, Jakob",L,4,0.0,0.0,1.0,0.0,0.029905071507774265,0.022
623149,L,8,61,11,15,95.84186046511627,"Freeman, Freddie",L,91,0.18032786885245902,0.2459016393442623,0.6703296703296703,0.07247252747252747,0.04117575656952133,0.253
623168,L,0,5,0,2,91.56666666666666,"Sullivan, Brett",L,6,0.0,0.4,0.8333333333333334,0.006,0.029905584634759272,0.027
623211,L,1,63,1,12,89.86818181818181,"Mangum, Jake",L,96,0.015873015873015872,0.19047619047619047,0.65625,0.008239583333333333,0.024780357643746767,0.259
623352,L,1,13,1,1,86.45714285714287,"O'Hearn, Ryan",L,22,0.07692307692307693,0.07692307692307693,0.5909090909090909,0.02695454545454546,0.030326125639065057,0.067
623381,L,0,7,0,1,86.46666666666665,"Lee, Jung Hoo",L,9,0.0,0.14285714285714285,0.7777777777777778,0.002,0.029500177312462378,0.037
623437,L,1,24,2,4,91.77272727272727,"Cowser, Colton",L,34,0.08333333333333333,0.16666666666666666,0.7058823529411765,0.03594117647058824,0.031201575454532268,0.118
623454,L,3,88,4,7,91.53684210526316,"Cronenworth, Jake",L,132,0.045454545454545456,0.07954545454545454,0.6666666666666666,0.018378787878787876,0.026566666010312677,0.328
623465,L,1,11,2,0,92.22857142857143,"Castro, Willi",L,19,0.18181818181818182,0.0,0.5789473684210527,0.060526315789473685,0.032294882885417146,0.058
623474,L,4,47,8,8,97.53750000000001,"Caissie, Owen",L,64,0.1702127659574468,0.1702127659574468,0.734375,0.074125,0.03958770113405491,0.207
624133,L,3,71,5,12,92.44285714285714,"Alvarez, Yordan",L,111,0.07042253521126761,0.16901408450704225,0.6396396396396397,0.027846846846846848,0.029799439376719486,0.283
624428,L,1,8,0,3,82.4,"Pasquantino, Vinnie",L,8,0.0,0.375,1.0,0.006749999999999999,0.029556027433140772,0.043
624431,L,0,6,2,3,98.18333333333334,"Rumfield, TJ",L,8,0.3333333333333333,0.5,0.75,0.1505,0.03443835030876594,0.032
624522,L,1,21,4,5,95.04166666666667,"Marte, Ketel",L,23,0.19047619047619047,0.23809523809523808,0.9130434782608695,0.10391304347826084,0.03823237348494499,0.104
625643,L,5,104,9,22,93.27704918032786,"Pasquantino, Vinnie",L,171,0.08653846153846154,0.21153846153846154,0.6081871345029239,0.03257894736842105,0.03130543550614878,0.366
628452,L,3,65,6,10,92.10277777777777,"Butler, Lawrence",L,90,0.09230769230769231,0.15384615384615385,0.7222222222222222,0.04033333333333333,0.03315999928202911,0.265
628708,L,0,2,0,1,95.7,"Yastrzemski, Mike",L,2,0.0,0.5,1.0,0.009,0.030332599766101455,0.011
640448,L,4,63,5,9,90.87931034482759,"Merrill, Jackson",L,89,0.07936507936507936,0.14285714285714285,0.7078651685393258,0.03412359550561797,0.03149102746619093,0.259
640451,L,1,7,1,0,93.14,"Lile, Daylen",L,11,0.14285714285714285,0.0,0.6363636363636364,0.05227272727272726,0.03138204410876767,0.037
640454,L,2,12,1,3,93.46666666666665,"Schanuel, Nolan",L,22,0.08333333333333333,0.25,0.5454545454545454,0.028590909090909084,0.030445958679798824,0.062
640455,L,4,83,8,11,93.02972972972972,"O'Hearn, Ryan",L,136,0.0963855421686747,0.13253012048192772,0.6102941176470589,0.03527941176470588,0.03205598606046028,0.316
641302,L,1,67,3,5,88.00399999999999,"Harper, Bryce",L,87,0.04477611940298507,0.07462686567164178,0.7701149425287356,0.020862068965517237,0.027936403960000487,0.271
641312,L,2,32,2,6,90.1923076923077,"Happ, Ian",L,43,0.0625,0.1875,0.7441860465116279,0.02925581395348837,0.030371316999726856,0.151
641329,L,1,62,3,9,89.43703703703704,"Burleson, Alec",L,89,0.04838709677419355,0.14516129032258066,0.6966292134831461,0.02120224719101124,0.028169721005260998,0.256
641386,L,0,2,0,0,79.0,"Clark, Max",L,3,0.0,0.0,0.6666666666666666,0.0,0.030233698667200357,0.011
