batter,p_throws,hr,bbe,barrels,pull_air,air_ev,name,bats,pa,barrel_rate,pull_air_rate,bbe_per_pa,xhr_pa_raw,talent_hr_pa,regression_w
687637,L,0,38,0,4,85.76875,"Beavers, Dylan",L,56,0.0,0.10526315789473684,0.6785714285714286,0.0012857142857142856,0.01779058665366323,0.388
687749,L,2,27,3,3,95.40625,"Bowen, Jase",R,47,0.1111111111111111,0.1111111111111111,0.574468085106383,0.037851063829787236,0.03122527669662194,0.31
687859,L,2,76,3,8,90.02926829268293,"Johnston, Troy",L,100,0.039473684210526314,0.10526315789473684,0.76,0.01869,0.022904855508837155,0.559
687952,L,6,38,12,8,97.98461538461538,"Encarnacion-Strand, Christian",R,67,0.3157894736842105,0.21052631578947367,0.5671641791044776,0.10513432835820895,0.058058416600140744,0.388
687957,L,0,10,0,2,76.66666666666667,"Harris, Dustin",L,13,0.0,0.2,0.7692307692307693,0.0027692307692307695,0.024604466527059447,0.143
688363,L,0,6,0,0,,"Pauley, Graham",L,8,0.0,0.0,0.75,0.0,0.025676065896997776,0.091
689414,L,1,81,1,13,85.37741935483871,"Hicks, Liam",L,109,0.012345679012345678,0.16049382716049382,0.7431192660550459,0.007422018348623853,0.016282296705250957,0.574
690022,L,0,4,0,0,,"Ritter, Ryan",R,10,0.0,0.0,0.4,0.0,0.026478442956278957,0.062
690924,L,0,28,3,2,86.9923076923077,"Fulford, Braxton",R,57,0.10714285714285714,0.07142857142857142,0.49122807017543857,0.030894736842105253,0.029087192963418187,0.318
690976,L,0,16,0,3,83.85555555555555,"Freeland, Alex",R,33,0.0,0.1875,0.48484848484848486,0.001636363636363636,0.022642133781364097,0.211
690984,L,0,27,0,3,79.25,"Halpin, Petey",L,39,0.0,0.1111111111111111,0.6923076923076923,0.0013846153846153843,0.019908103041223778,0.31
690993,L,0,20,0,1,86.17999999999999,"Keith, Colt",L,25,0.0,0.05,0.8,0.00072,0.021362754365023166,0.25
691002,L,0,5,1,0,96.93333333333334,"Morales, Yohandy",R,9,0.2,0.0,0.5555555555555556,0.06388888888888888,0.030985612209943045,0.077
691011,L,1,24,1,4,83.25384615384615,"Romo, Drew",R,38,0.041666666666666664,0.16666666666666666,0.631578947368421,0.01702631578947368,0.02503871343034788,0.286
691016,L,9,92,9,14,94.69444444444444,"Soderstrom, Tyler",L,145,0.09782608695652174,0.15217391304347827,0.6344827586206897,0.037427586206896554,0.033802357106818004,0.605
691019,L,0,11,0,1,80.875,"Teel, Kyle",L,19,0.0,0.09090909090909091,0.5789473684210527,0.0009473684210526316,0.02401466763145679,0.155
691023,L,9,109,17,11,95.51746031746032,"Walker, Jordan",R,162,0.1559633027522936,0.10091743119266056,0.6728395061728395,0.06156172839506173,0.049732832806293384,0.645
